h,rank,x,avg_remaining,std_remaining,win_rate,avg_thorn_cross,avg_fence_cross,avg_diag_dist,sharpe
5,1,0,51.1488,160.4741,0.64,0.0,100.0,3.3848,0.316762
5,2,20,49.5311,160.7513,0.628,0.656,99.344,3.3412,0.306217
5,1,0,51.1488,160.4741,0.64,0.0,100.0,3.3848,0.316762
5,2,20,49.5311,160.7513,0.628,0.656,99.344,3.3412,0.306217
6,1,0,84.2467,174.2004,0.696,0.0,100.0,3.2651,0.480859
6,2,10,70.9418,170.2475,0.672,0.376,99.624,3.425,0.414265
5,1,0,51.1488,160.4741,0.64,0.0,100.0,3.3848,0.316762
5,2,20,49.5311,160.7513,0.628,0.656,99.344,3.3412,0.306217
6,1,0,84.2467,174.2004,0.696,0.0,100.0,3.2651,0.480859
6,2,10,70.9418,170.2475,0.672,0.376,99.624,3.425,0.414265
7,1,0,91.4966,175.0175,0.748,0.0,100.0,3.3158,0.519815
7,2,20,67.6328,198.6025,0.652,0.664,99.336,3.4876,0.338838
5,1,0,51.1488,160.4741,0.64,0.0,100.0,3.3848,0.316762
5,2,20,49.5311,160.7513,0.628,0.656,99.344,3.3412,0.306217
6,1,0,84.2467,174.2004,0.696,0.0,100.0,3.2651,0.480859
6,2,10,70.9418,170.2475,0.672,0.376,99.624,3.425,0.414265
7,1,0,91.4966,175.0175,0.748,0.0,100.0,3.3158,0.519815
7,2,20,67.6328,198.6025,0.652,0.664,99.336,3.4876,0.338838
8,1,0,77.1544,194.7125,0.68,0.0,100.0,3.5178,0.394223
8,2,10,65.403,213.0743,0.632,0.32,99.68,3.5248,0.305515
5,1,0,51.1488,160.4741,0.64,0.0,100.0,3.3848,0.316762
5,2,20,49.5311,160.7513,0.628,0.656,99.344,3.3412,0.306217
6,1,0,84.2467,174.2004,0.696,0.0,100.0,3.2651,0.480859
6,2,10,70.9418,170.2475,0.672,0.376,99.624,3.425,0.414265
7,1,0,91.4966,175.0175,0.748,0.0,100.0,3.3158,0.519815
7,2,20,67.6328,198.6025,0.652,0.664,99.336,3.4876,0.338838
8,1,0,77.1544,194.7125,0.68,0.0,100.0,3.5178,0.394223
8,2,10,65.403,213.0743,0.632,0.32,99.68,3.5248,0.305515
9,1,0,71.9119,217.779,0.66,0.0,100.0,3.386,0.328697
9,2,10,54.757,223.469,0.612,0.244,99.756,3.4326,0.24394
5,1,0,51.1488,160.4741,0.64,0.0,100.0,3.3848,0.316762
5,2,20,49.5311,160.7513,0.628,0.656,99.344,3.3412,0.306217
6,1,0,84.2467,174.2004,0.696,0.0,100.0,3.2651,0.480859
6,2,10,70.9418,170.2475,0.672,0.376,99.624,3.425,0.414265
7,1,0,91.4966,175.0175,0.748,0.0,100.0,3.3158,0.519815
7,2,20,67.6328,198.6025,0.652,0.664,99.336,3.4876,0.338838
8,1,0,77.1544,194.7125,0.68,0.0,100.0,3.5178,0.394223
