portfolio,label,x,h,scen_a_avg,scen_b_avg,scen_b_win
A_MaxDiversity,A1_x0_h17,0,17,-203.82,301.97,0.954
A_MaxDiversity,A2_x0_h60,0,60,-692.72,143.88,0.828
A_MaxDiversity,A3_x50_h44,50,44,-661.15,181.7,0.88
A_MaxDiversity,A4_x100_h44,100,44,-643.06,204.93,0.897
A_MaxDiversity,A5_x200_h44,200,44,-612.17,259.06,0.912
A_MaxDiversity,A6_x300_h44,300,44,-587.37,295.95,0.921
A_MaxDiversity,A7_x0_h8,0,8,-434.5,270.72,0.946
B_hSpread,B1_x0_h5,0,5,-613.16,182.17,0.875
B_hSpread,B2_x0_h10,0,10,-380.26,279.01,0.952
B_hSpread,B3_x0_h17,0,17,-243.09,300.06,0.949
B_hSpread,B4_x0_h25,0,25,-407.45,275.04,0.946
B_hSpread,B5_x0_h35,0,35,-689.15,144.01,0.838
B_hSpread,B6_x0_h45,0,45,-672.6,151.49,0.838
B_hSpread,B7_x0_h60,0,60,-679.62,152.62,0.831
C_ThornSpecialist,C1_x0_h17,0,17,-184.17,304.76,0.954
C_ThornSpecialist,C2_x25_h44,25,44,-674.11,166.82,0.862
C_ThornSpecialist,C3_x75_h44,75,44,-650.82,200.4,0.893
C_ThornSpecialist,C4_x125_h44,125,44,-637.4,227.86,0.912
C_ThornSpecialist,C5_x175_h44,175,44,-605.81,256.5,0.913
C_ThornSpecialist,C6_x250_h44,250,44,-590.47,286.9,0.914
C_ThornSpecialist,C7_x300_h44,300,44,-603.16,288.46,0.896
D_CrowdDodge,D1_x0_h17,0,17,-195.96,303.25,0.947
D_CrowdDodge,D2_x100_h44,100,44,-647.38,206.9,0.889
D_CrowdDodge,D3_x150_h44,150,44,-618.21,234.48,0.898
D_CrowdDodge,D4_x200_h44,200,44,-610.01,253.77,0.904
D_CrowdDodge,D5_x250_h44,250,44,-605.84,278.53,0.904
D_CrowdDodge,D6_x300_h44,300,44,-588.24,295.89,0.917
D_CrowdDodge,D7_x0_h60,0,60,-694.53,151.81,0.842
E_Conservative_BASELINE,E1_x0_h15,0,15,-556.51,273.7,0.924
E_Conservative_BASELINE,E2_x0_h16,0,16,-608.97,260.49,0.902
E_Conservative_BASELINE,E3_x0_h17,0,17,-624.45,256.26,0.909
E_Conservative_BASELINE,E4_x0_h18,0,18,-634.68,255.19,0.917
E_Conservative_BASELINE,E5_x0_h19,0,19,-651.67,253.04,0.911
E_Conservative_BASELINE,E6_x0_h20,0,20,-636.05,254.27,0.912
E_Conservative_BASELINE,E7_x0_h21,0,21,-598.83,270.01,0.932
